new-namespace	classname	path	old-namespace
DataPool\SearchEngine\FacetFieldTransformation	FacetFieldTransformationRegistry	src/ContentDelivery/Catalog/Search/FacetFieldTransformation/FacetFieldTransformationRegistry.php	LizardsAndPumpkins\ContentDelivery\Catalog\Search\FacetFieldTransformation
DataPool\SearchEngine	FacetFieldValue	src/DataPool/SearchEngine/FacetFieldValue.php	LizardsAndPumpkins\DataPool\SearchEngine
DataPool\SearchEngine	FacetFilterRange	src/DataPool/SearchEngine/FacetFilterRange.php	LizardsAndPumpkins\DataPool\SearchEngine
DataPool\SearchEngine	FacetFilterRequestRangedField	src/DataPool/SearchEngine/FacetFilterRequestRangedField.php	LizardsAndPumpkins\DataPool\SearchEngine
DataPool\SearchEngine	FacetFilterRequestSimpleField	src/DataPool/SearchEngine/FacetFilterRequestSimpleField.php	LizardsAndPumpkins\DataPool\SearchEngine
DataPool\SearchEngine	FacetFiltersToIncludeInResult	src/DataPool/SearchEngine/FacetFiltersToIncludeInResult.php	LizardsAndPumpkins\DataPool\SearchEngine
Messaging\Command	FailedToReadFromCommandQueueMessage	src/FailedToReadFromCommandQueueMessage.php	LizardsAndPumpkins
Messaging\Event	FailedToReadFromDomainEventQueueMessage	src/FailedToReadFromDomainEventQueueMessage.php	LizardsAndPumpkins
UNUSED	FileAlreadyExistsWithinGivenPathException	src/Utils/Exception/FileAlreadyExistsWithinGivenPathException.php	LizardsAndPumpkins\Utils\Exception
Import\FileStorage	FileContent	src/Utils/FileStorage/FileContent.php	LizardsAndPumpkins\Utils\FileStorage
Import\FileStorage\Exception	FileDoesNotExistException	src/Utils/FileStorage/Exception/FileDoesNotExistException.php	LizardsAndPumpkins\Utils\FileStorage\Exception
Import\FileStorage	FileInStorage	src/Utils/FileStorage/FileInStorage.php	LizardsAndPumpkins\Utils\FileStorage
Logging\Writer	FileLogMessageWriter	src/Log/Writer/FileLogMessageWriter.php	LizardsAndPumpkins\Log\Writer
Util\FileSystem\Exception	FileNotReadableException	src/Utils/Exception/FileNotReadableException.php	LizardsAndPumpkins\Utils\Exception
Util\FileSystem\Exception	FileNotWritableException	src/Utils/Exception/FileNotWritableException.php	LizardsAndPumpkins\Utils\Exception
DataPool\SearchEngine\Filesystem	FileSearchEngine	src/DataPool/SearchEngine/FileSearchEngine.php	LizardsAndPumpkins\DataPool\SearchEngine
Import\FileStorage\Exception	FileStorageTypeMismatchException	src/Utils/FileStorage/Exception/FileStorageTypeMismatchException.php	LizardsAndPumpkins\Utils\FileStorage\Exception
Import\FileStorage	FilesystemFileStorage	src/Utils/FileStorage/FilesystemFileStorage.php	LizardsAndPumpkins\Utils\FileStorage
Import\FileStorage	FilesystemFileUri	src/Utils/FileStorage/FilesystemFileUri.php	LizardsAndPumpkins\Utils\FileStorage
Import\ImageStorage	FilesystemImageStorage	src/Utils/ImageStorage/FilesystemImageStorage.php	LizardsAndPumpkins\Utils\ImageStorage
DataPool\UrlKeyStore	FileUrlKeyStore	src/DataPool/UrlKeyStore/FileUrlKeyStore.php	LizardsAndPumpkins\DataPool\UrlKeyStore
DataPool\SearchEngine	FilterNavigationPriceRangesBuilder	src/ContentDelivery/Catalog/FilterNavigationPriceRangesBuilder.php	LizardsAndPumpkins\ContentDelivery\Catalog
Http\ContentDelivery	FrontendFactory	src/FrontendFactory.php	LizardsAndPumpkins
Import\ImageStorage\ImageProcessing\Gd	GdResizeStrategy	src/Image/GdResizeStrategy.php	LizardsAndPumpkins\Image
Http\Routing	GenericHttpRouter	src/Http/GenericHttpRouter.php	LizardsAndPumpkins\Http
DataPool\KeyGenerator	GenericSnippetKeyGenerator	src/GenericSnippetKeyGenerator.php	LizardsAndPumpkins
